Gene 1,Gene 2,Gene 3,Gene 4,Gene 5,Gene 6,Gene 7,Gene 8,Gene 9,Gene 10,Gene 11,Gene 12,Gene 13,Gene 14,Gene 15,Gene 16,Gene 17,Gene 18,Gene 19,Gene 20,Gene 21,Gene 22,Gene 23,Gene 24,Gene 25,Gene 26,Gene 27,Gene 28,Gene 29,Gene 30,Gene 31,Gene 32,Gene 33,Gene 34,Gene 35,Gene 36,Gene 37,Gene 38,Gene 39,Gene 40,Gene 41,Gene 42,Gene 43,Gene 44,Gene 45,Gene 46,Gene 47,Gene 48,Gene 49,Gene 50,Gene 51,Gene 52,Gene 53,Gene 54,Gene 55,Gene 56,Gene 57,Gene 58,Gene 59,Gene 60,Gene 61,Gene 62,Gene 63,Gene 64,Gene 65,Gene 66,Gene 67,Gene 68,Gene 69,Gene 70,Gene 71,Gene 72,Gene 73,Gene 74,Gene 75,Gene 76,Gene 77,Gene 78,Gene 79,Gene 80,Gene 81,Gene 82,Gene 83,Gene 84,Gene 85,Gene 86,Gene 87,Gene 88,Gene 89,Gene 90,Gene 91,Gene 92,Gene 93,Gene 94,Gene 95,Gene 96,Gene 97,Gene 98,Gene 99,Gene 100,Gene 101,Gene 102,Gene 103,Gene 104,Gene 105,Gene 106,Gene 107,Gene 108,Gene 109,Gene 110,Gene 111,Gene 112,Gene 113,Gene 114,Gene 115,Gene 116,Gene 117,Gene 118,Gene 119,Gene 120,Gene 121,Gene 122,Gene 123,Gene 124,Gene 125,Gene 126,Gene 127,Gene 128,Gene 129,Gene 130,Gene 131,Gene 132,Gene 133,Gene 134,Gene 135,Gene 136,Gene 137,Gene 138,Gene 139,Gene 140,Gene 141,Gene 142,Gene 143,Gene 144,Gene 145,Gene 146,Gene 147,Gene 148,Gene 149,Gene 150,Gene 151,Gene 152,Gene 153,Gene 154,Gene 155,Gene 156,Gene 157,Gene 158,Gene 159,Gene 160,Gene 161,Gene 162,Gene 163,Gene 164,Gene 165,Gene 166,Gene 167,Gene 168,Gene 169,Gene 170,Gene 171,Gene 172,Gene 173,Gene 174,Gene 175,Gene 176,Gene 177,Gene 178,Gene 179,Gene 180,Gene 181,Gene 182,Gene 183,Gene 184,Gene 185,Gene 186,Gene 187,Gene 188,Gene 189,Gene 190,Gene 191,Gene 192,Gene 193,Gene 194,Gene 195,Gene 196,Gene 197,Gene 198,Gene 199,Gene 200,Gene 201,Gene 202,Gene 203,Gene 204,Gene 205,Gene 206,Gene 207,Gene 208,Gene 209,Gene 210,Gene 211,Gene 212,Gene 213,Gene 214,Gene 215,Gene 216,Gene 217,Gene 218,Gene 219,Gene 220,Gene 221,Gene 222,Gene 223,Gene 224,Gene 225,Gene 226,Gene 227,Gene 228,Gene 229,Gene 230,Gene 231,Gene 232,Gene 233,Gene 234,Gene 235,Gene 236,Gene 237,Gene 238,Gene 239,Gene 240,Gene 241,Gene 242,Gene 243,Gene 244,Gene 245,Gene 246,Gene 247,Gene 248,Gene 249,Response
82.3723,87.0793,75.3118,44.7164,47.0699,51.7769,70.6048,47.0699,61.1908,47.0699,47.0699,42.3629,61.1908,40.0094,47.0699,44.7164,75.3118,47.0699,82.3723,58.8373,44.7164,80.0188,75.3118,84.7258,54.1304,68.2513,61.1908,58.8373,51.7769,42.3629,72.9583,44.7164,70.6048,54.1304,75.3118,49.4234,35.3024,75.3118,68.2513,56.4838,47.0699,87.0793,51.7769,37.6559,47.0699,35.3024,58.8373,80.0188,84.7258,44.7164,47.0699,54.1304,54.1304,49.4234,47.0699,58.8373,51.7769,63.5443,65.8978,40.0094,70.6048,54.1304,47.0699,89.4328,84.7258,61.1908,49.4234,65.8978,61.1908,40.0094,40.0094,37.6559,40.0094,56.4838,61.1908,56.4838,87.0793,56.4838,61.1908,58.8373,47.0699,49.4234,77.6653,49.4234,58.8373,56.4838,68.2513,51.7769,61.1908,65.8978,37.6559,35.3024,54.1304,70.6048,44.7164,49.4234,70.6048,49.4234,77.6653,49.4234,54.1304,56.4838,42.3629,68.2513,65.8978,47.0699,40.0094,54.1304,51.7769,61.1908,44.7164,58.8373,58.8373,70.6048,49.4234,40.0094,44.7164,61.1908,68.2513,51.7769,58.8373,42.3629,61.1908,44.7164,65.8978,65.8978,44.7164,30.5954,103.554,49.4234,42.3629,82.3723,42.3629,68.2513,56.4838,70.6048,54.1304,54.1304,70.6048,82.3723,56.4838,44.7164,56.4838,58.8373,56.4838,40.0094,51.7769,47.0699,37.6559,42.3629,54.1304,65.8978,110.614,61.1908,49.4234,65.8978,35.3024,35.3024,68.2513,54.1304,54.1304,77.6653,37.6559,70.6048,47.0699,54.1304,44.7164,49.4234,63.5443,61.1908,63.5443,32.9489,28.2419,54.1304,75.3118,32.9489,49.4234,40.0094,61.1908,65.8978,72.9583,51.7769,51.7769,68.2513,61.1908,32.9489,68.2513,65.8978,63.5443,63.5443,61.1908,42.3629,63.5443,75.3118,54.1304,30.5954,54.1304,70.6048,32.9489,51.7769,70.6048,89.4328,91.7862,49.4234,87.0793,54.1304,51.7769,40.0094,49.4234,47.0699,68.2513,42.3629,47.0699,61.1908,75.3118,75.3118,42.3629,49.4234,75.3118,58.8373,70.6048,75.3118,32.9489,44.7164,63.5443,58.8373,75.3118,84.7258,61.1908,42.3629,44.7164,61.1908,42.3629,61.1908,63.5443,23.5349,37.6559,63.5443,61.1908,42.3629,72.9583,68.2513,49.4234,40.0094,68.2513,47.0699,49.4234,61.1908,49.4234,0
79.0774,54.0362,43.4926,127.842,57.9901,36.9028,43.4926,69.8517,36.9028,28.995,43.4926,96.2108,32.9489,36.9028,61.944,57.9901,35.5848,46.1285,90.939,54.0362,141.021,56.6721,52.7183,57.9901,55.3542,64.5799,46.1285,44.8105,55.3542,64.5799,48.7644,46.1285,21.0873,25.0412,115.98,42.1746,35.5848,67.2158,57.9901,51.4003,189.786,63.2619,38.2207,38.2207,21.0873,35.5848,110.708,38.2207,73.8056,50.0823,52.7183,31.631,123.888,51.4003,114.662,68.5337,56.6721,79.0774,50.0823,50.0823,61.944,39.5387,61.944,549.588,35.5848,43.4926,47.4464,84.3492,50.0823,60.626,56.6721,42.1746,27.6771,64.5799,69.8517,106.754,152.883,76.4415,104.119,38.2207,56.6721,40.8566,272.817,47.4464,40.8566,56.6721,34.2669,31.631,68.5337,76.4415,48.7644,65.8978,30.313,79.0774,50.0823,27.6771,72.4876,123.888,76.4415,39.5387,81.7133,251.73,65.8978,44.8105,65.8978,55.3542,68.5337,61.944,55.3542,46.1285,48.7644,67.2158,59.308,51.4003,30.313,56.6721,32.9489,26.3591,60.626,98.8467,146.293,67.2158,55.3542,27.6771,47.4464,54.0362,46.1285,51.4003,32.9489,46.1285,50.0823,156.837,47.4464,27.6771,64.5799,71.1696,151.565,100.165,73.8056,57.9901,48.7644,51.4003,40.8566,56.6721,63.2619,81.7133,34.2669,31.631,80.3953,71.1696,46.1285,72.4876,46.1285,57.9901,47.4464,26.3591,56.6721,67.2158,50.0823,48.7644,43.4926,97.5288,54.0362,46.1285,46.1285,28.995,122.57,52.7183,28.995,61.944,40.8566,57.9901,43.4926,56.6721,69.8517,47.4464,48.7644,40.8566,55.3542,39.5387,46.1285,34.2669,52.7183,94.8929,173.97,201.647,93.5749,38.2207,42.1746,93.5749,34.2669,26.3591,61.944,56.6721,64.5799,57.9901,51.4003,75.1235,30.313,22.4053,50.0823,38.2207,35.5848,31.631,200.329,44.8105,34.2669,59.308,60.626,143.657,51.4003,39.5387,50.0823,47.4464,67.2158,100.165,85.6672,46.1285,51.4003,40.8566,39.5387,55.3542,42.1746,83.0312,90.939,80.3953,56.6721,164.745,65.8978,156.837,63.2619,43.4926,59.308,77.7594,47.4464,31.631,109.39,44.8105,39.5387,39.5387,72.4876,54.0362,32.9489,51.4003,38.2207,55.3542,68.5337,73.8056,51.4003,1
85.9943,68.4683,63.0937,102.118,58.8874,48.1381,58.8874,70.5714,54.4475,52.1107,68.702,42.7635,61.4579,32.4815,30.3784,74.0766,88.5648,56.5506,53.9801,64.0284,52.578,49.0728,54.4475,56.3169,59.8221,105.623,44.3992,77.1145,44.1656,50.2412,53.0454,20.7975,52.8117,45.334,100.716,34.8184,65.4305,83.6575,64.9631,48.3718,76.6471,98.613,46.2687,34.1173,69.8704,33.4163,65.8978,38.7909,78.9839,57.9527,64.9631,38.0899,100.015,49.0728,28.0416,79.685,48.6055,46.035,64.4957,56.0833,53.5128,51.877,45.1003,41.8288,29.6774,89.0322,33.8836,99.5478,42.0624,45.5676,54.9148,51.176,72.6745,26.6395,34.8184,61.6916,249.57,105.623,50.0076,71.5061,48.3718,79.2176,102.819,46.5024,70.1041,67.0662,58.1864,65.1968,40.4267,68.4683,49.5402,71.2725,44.3992,74.3103,32.7152,33.1826,44.6329,31.3131,102.352,53.0454,122.916,137.871,38.0899,41.3614,180.635,35.7531,48.1381,52.1107,83.6575,47.4371,100.95,70.8051,86.6954,64.9631,59.3548,41.1277,23.8354,38.0899,31.7805,139.741,38.7909,50.0076,65.8978,46.9697,60.2895,45.1003,36.9215,56.5506,33.8836,36.2204,79.9186,58.4201,43.9319,32.7152,43.9319,55.3822,71.2725,51.877,64.2621,73.3756,68.0009,63.7947,56.0833,44.3992,76.8808,130.394,80.8534,27.8079,138.339,28.0416,48.1381,71.2725,67.5336,59.8221,36.2204,48.6055,59.3548,57.2517,49.3065,59.1211,50.7086,79.9186,63.0937,97.211,52.1107,57.4853,605.232,104.689,41.3614,48.6055,57.4853,33.8836,39.7256,48.8392,97.6783,47.6708,57.9527,80.8534,38.0899,32.4815,74.0766,49.5402,50.9423,84.8259,140.208,72.6745,82.0218,50.4749,58.1864,84.3586,37.1552,112.634,46.9697,82.2554,144.648,38.7909,44.1656,74.3103,73.8429,208.209,47.9044,36.9215,118.71,51.6433,93.2384,35.052,50.7086,33.8836,57.719,399.593,46.736,34.5847,40.4267,47.9044,42.2961,85.7606,44.8666,44.1656,66.8325,39.492,74.3103,36.4541,40.193,52.8117,85.2933,62.86,92.771,110.063,45.334,82.9565,62.6263,49.0728,39.9593,68.4683,39.9593,35.5194,77.5818,53.5128,46.5024,47.2034,137.404,60.0558,22.9007,57.9527,38.3236,64.7294,78.5165,87.3964,51.176,1
70.6983,49.7507,65.4614,138.778,59.7881,47.1322,58.4789,72.0076,51.4963,50.1871,49.3143,44.5138,44.0774,42.3317,53.2419,50.6235,49.7507,42.3317,85.9726,48.005,62.4065,67.6435,55.424,55.8604,71.5711,87.2819,41.0225,56.2968,48.4414,54.5512,54.9876,88.5911,53.2419,37.9676,51.4963,76.3716,46.6958,68.9527,60.6609,53.6784,256.609,108.23,81.1721,45.823,34.9128,49.7507,88.1547,55.424,46.6958,74.626,54.5512,60.2245,48.4414,55.8604,49.3143,64.1522,53.2419,56.7332,44.5138,58.4789,70.6983,37.5312,58.0424,91.646,41.0225,89.4639,56.2968,79.4265,51.9327,43.2045,56.2968,56.7332,48.8779,50.1871,47.1322,66.7706,103.865,81.1721,84.6634,52.3691,46.2594,54.9876,90.7732,75.4988,44.9502,60.6609,60.2245,45.3866,46.6958,71.5711,68.0799,46.6958,62.843,63.7158,32.7307,47.1322,52.8055,70.2619,64.5886,48.005,109.102,131.796,44.9502,61.5337,70.6983,51.0599,49.7507,46.2594,58.0424,54.5512,48.4414,57.1696,53.2419,52.8055,50.6235,48.8779,44.9502,37.9676,56.7332,130.05,41.0225,51.0599,56.7332,54.9876,93.3916,73.3168,48.005,51.4963,49.7507,42.7681,52.8055,60.2245,51.0599,37.9676,67.6435,51.0599,61.9701,73.7532,61.5337,59.3517,52.3691,46.2594,47.5686,65.025,62.4065,76.8081,43.2045,52.3691,87.2819,77.6809,44.5138,62.4065,76.8081,79.4265,50.1871,51.9327,44.9502,64.1522,56.7332,53.2419,55.8604,109.102,44.5138,61.0973,58.9153,54.5512,368.766,64.1522,46.6958,54.9876,46.2594,55.8604,54.1148,64.5886,57.606,40.1497,58.0424,45.823,56.7332,37.0948,75.4988,51.4963,54.5512,78.5537,120.449,44.5138,58.0424,51.0599,45.823,47.1322,51.0599,78.1173,68.0799,78.5537,43.6409,36.222,45.823,105.175,40.5861,52.3691,61.0973,63.7158,50.6235,48.4414,74.626,48.005,53.2419,58.9153,51.4963,63.2794,71.5711,43.6409,58.0424,47.1322,58.4789,101.247,52.3691,68.9527,54.9876,53.2419,50.1871,48.4414,41.0225,43.2045,76.3716,74.626,61.9701,167.145,58.9153,69.8255,41.0225,50.1871,51.0599,76.8081,45.3866,35.7856,77.6809,79.8629,54.1148,47.1322,63.7158,59.7881,40.5861,46.2594,69.3891,49.3143,75.4988,71.1347,40.5861,1
72.0896,47.7649,57.937,82.2617,46.8803,64.571,50.8607,51.303,48.6494,49.0917,75.6277,44.2267,49.9762,36.7082,57.0525,64.571,34.9391,46.4381,33.17,57.937,73.4164,68.5514,43.7845,58.3793,41.1309,74.7432,41.5731,50.4185,59.2638,50.8607,85.7998,88.4534,33.6123,53.9566,138.872,24.767,43.7845,59.2638,64.571,65.0133,132.68,81.3772,103.048,49.9762,24.3247,41.1309,87.1266,45.5535,50.4185,66.7824,84.0308,48.6494,32.7278,45.5535,22.1134,68.1092,61.4751,45.5535,34.0546,74.3009,123.393,48.2071,55.7257,799.619,31.401,55.2834,49.0917,125.162,38.9195,60.1483,100.395,43.3422,44.669,24.3247,75.6277,88.0112,114.989,66.3401,55.7257,44.2267,57.0525,45.5535,75.6277,53.5143,37.1504,64.1288,61.9174,42.4577,42.8999,83.5885,58.3793,57.0525,42.4577,42.0154,59.7061,31.401,66.7824,78.2813,77.3968,34.0546,73.8586,119.854,38.035,45.1113,99.0679,76.07,42.8999,63.6865,50.8607,54.8411,53.5143,62.8019,48.6494,63.6865,50.8607,38.4772,44.669,25.6515,69.8782,78.7236,26.0938,72.0896,49.0917,45.9958,53.5143,64.571,76.5122,54.8411,46.8803,38.035,52.1875,128.7,43.7845,22.9979,42.8999,46.4381,138.872,104.375,68.5514,62.8019,61.0329,88.4534,34.9391,53.5143,47.7649,54.8411,61.4751,38.035,81.3772,68.5514,46.8803,76.5122,61.9174,54.3989,68.5514,49.0917,49.5339,39.3618,86.2421,44.669,64.571,95.972,39.8041,95.0875,57.937,65.8978,34.9391,46.4381,42.0154,51.303,43.7845,72.9741,54.3989,72.5318,65.8978,46.8803,54.8411,53.9566,72.5318,45.5535,49.0917,49.9762,43.7845,75.1854,84.0308,62.3597,40.2463,38.9195,41.1309,45.1113,42.4577,39.8041,54.8411,68.1092,38.035,56.6102,53.0721,68.5514,23.4402,32.2855,43.7845,40.6886,29.6319,46.4381,67.6669,46.4381,34.9391,50.4185,38.9195,103.933,37.5927,45.1113,65.4556,53.5143,45.1113,80.9349,80.9349,49.0917,54.3989,36.2659,29.1896,41.5731,57.937,169.388,81.8194,65.8978,52.1875,76.07,52.6298,99.9524,41.5731,41.5731,48.2071,65.8978,41.1309,49.5339,81.8194,114.105,54.8411,49.5339,54.3989,57.937,28.3051,64.1288,45.1113,33.17,52.6298,69.436,25.6515,1
77.0181,56.0131,75.7825,65.0741,59.308,56.8369,73.7232,60.1318,57.2487,53.1301,53.1301,41.598,46.5403,40.7743,36.6557,56.425,59.308,53.542,63.0148,75.3706,72.0757,71.6639,53.1301,65.486,56.0131,101.73,46.5403,61.3673,58.4843,61.3673,51.0708,60.9555,64.6622,40.7743,55.1894,136.738,47.3641,60.5436,63.4267,60.1318,109.967,86.9027,56.8369,33.7726,54.3657,39.9506,76.6062,60.5436,52.7183,82.3723,56.0131,65.8978,44.481,52.7183,55.6013,84.4316,59.7199,61.7792,51.8945,46.5403,58.8962,36.6557,46.1285,63.0148,54.3657,63.0148,64.2504,143.74,60.1318,47.7759,49.4234,52.7183,43.2454,47.7759,30.8896,73.3113,103.789,71.252,54.7776,44.0692,56.8369,53.9538,67.9571,48.1878,57.2487,62.6029,60.1318,77.4299,51.8945,66.7215,47.7759,58.8962,73.3113,97.6111,42.8336,43.6573,69.1927,56.0131,75.3706,47.3641,109.143,92.2569,42.4217,56.425,69.6046,45.3047,53.9538,51.0708,65.486,69.1927,67.1334,61.3673,58.8962,55.1894,57.6606,53.9538,49.8352,51.4827,74.5469,60.9555,61.7792,45.3047,54.7776,47.3641,101.318,59.7199,42.0099,62.1911,49.0115,49.4234,53.542,46.5403,44.8929,37.4794,45.3047,55.6013,60.1318,70.0164,68.369,91.8451,49.0115,46.1285,46.5403,42.4217,86.9027,91.8451,52.7183,56.8369,67.9571,53.1301,43.6573,90.6095,93.4925,67.1334,49.4234,49.0115,49.8352,57.2487,59.7199,38.715,64.2504,89.7858,53.542,68.7808,59.308,46.5403,906.507,62.1911,52.7183,56.0131,46.5403,48.1878,39.9506,68.7808,60.9555,37.0675,57.6606,63.8385,62.1911,42.0099,65.0741,50.6589,57.6606,93.9044,147.446,47.7759,41.598,48.5996,41.598,41.1861,52.7183,79.4892,59.308,214.168,59.7199,44.0692,46.9522,63.0148,48.5996,49.8352,62.6029,62.1911,51.0708,46.5403,85.2553,60.9555,49.4234,41.598,49.4234,77.8418,79.9011,48.5996,50.6589,48.1878,71.6639,95.9637,42.4217,58.0725,55.6013,61.3673,40.3624,60.9555,42.4217,46.5403,61.3673,60.9555,58.8962,59.7199,56.0131,64.2504,58.8962,61.3673,43.2454,76.6062,60.5436,45.7166,88.1383,52.3064,59.308,49.4234,66.3097,54.7776,47.7759,46.9522,56.425,62.1911,67.1334,81.9604,34.1845,0
87.1773,39.8133,72.7622,81.6858,62.4656,95.4146,68.6436,69.33,46.6776,53.542,56.9742,47.3641,61.0928,36.3811,43.9319,87.1773,34.3218,43.9319,63.8385,52.1691,80.9994,45.3047,59.0335,67.2707,61.7792,112.575,50.7962,67.2707,56.2877,41.1861,51.4827,60.4063,50.1098,43.2454,90.6095,135.914,36.3811,87.1773,90.6095,52.1691,300.659,61.0928,95.4146,37.0675,40.4997,57.6606,89.2366,48.7369,53.542,54.9148,50.7962,44.6183,98.1603,63.8385,38.4404,55.6013,66.5843,39.1268,37.754,51.4827,51.4827,24.7117,61.0928,64.5249,44.6183,60.4063,54.2284,97.4739,36.3811,47.3641,51.4827,63.1521,48.0505,30.2032,42.559,72.0757,171.609,82.3723,28.8303,41.8726,52.1691,55.6013,109.143,48.0505,46.6776,47.3641,54.9148,63.1521,44.6183,61.7792,41.8726,74.8215,45.3047,56.9742,30.8896,39.8133,80.9994,52.1691,55.6013,51.4827,73.4486,205.244,33.6353,59.7199,47.3641,37.754,60.4063,48.7369,71.3893,57.6606,45.3047,56.9742,56.2877,84.4316,39.8133,35.6947,26.771,41.1861,61.0928,83.0587,31.576,67.9571,67.9571,45.3047,62.4656,56.9742,46.6776,50.7962,34.3218,37.754,45.3047,63.8385,49.4234,29.5167,75.5079,59.7199,54.2284,99.5332,57.6606,43.2454,41.1861,65.2114,41.1861,85.8045,53.542,83.0587,43.9319,41.1861,72.0757,70.0164,35.0082,118.067,91.9824,58.347,65.2114,53.542,58.347,63.1521,112.575,43.2454,50.1098,109.143,50.7962,158.567,50.7962,54.2284,1040.64,65.2114,37.0675,56.9742,39.8133,52.8555,63.8385,52.8555,107.084,64.5249,70.0164,52.1691,78.9401,24.0252,50.1098,49.4234,45.9912,94.7281,120.813,39.1268,57.6606,42.559,47.3641,48.7369,105.711,65.2114,98.1603,110.516,27.4574,29.5167,51.4827,79.6265,30.8896,28.8303,60.4063,57.6606,43.9319,43.9319,125.618,50.7962,49.4234,65.8978,30.8896,85.8045,106.398,41.8726,52.8555,64.5249,40.4997,91.2959,43.9319,49.4234,58.347,48.7369,57.6606,56.9742,40.4997,42.559,64.5249,69.33,59.0335,113.948,54.2284,89.2366,50.7962,49.4234,38.4404,46.6776,43.9319,49.4234,75.5079,59.7199,55.6013,43.2454,99.5332,65.2114,37.754,43.2454,47.3641,68.6436,49.4234,61.0928,76.1944,1
60.7148,35.5404,60.7148,73.3021,53.3106,99.2169,62.1957,74.7829,42.2042,51.8297,42.9446,44.4255,69.5999,38.5021,62.9361,74.7829,34.8,50.3489,53.3106,54.7914,67.3787,62.9361,51.8297,55.5319,65.1574,88.851,33.3191,53.3106,40.7234,43.6851,64.417,131.055,49.6085,51.0893,78.485,34.8,48.1276,68.1191,54.7914,49.6085,162.893,85.1489,68.1191,40.7234,31.8383,39.9829,100.698,47.3872,52.5702,77.7446,60.7148,48.868,42.2042,51.0893,48.868,57.7531,46.6468,77.7446,42.2042,57.0127,85.8893,39.9829,49.6085,1079.54,40.7234,71.0808,49.6085,108.842,50.3489,67.3787,61.4553,44.4255,75.5233,28.8766,121.43,148.825,89.5914,113.285,48.1276,50.3489,42.9446,51.8297,139.94,57.7531,46.6468,61.4553,61.4553,44.4255,45.1659,85.8893,43.6851,43.6851,59.9744,65.1574,34.0595,35.5404,53.3106,107.362,81.4467,47.3872,73.3021,174.74,50.3489,55.5319,61.4553,48.1276,51.8297,62.1957,54.051,52.5702,60.7148,63.6765,49.6085,47.3872,45.1659,58.4936,38.5021,36.2808,60.7148,65.8978,38.5021,37.0212,66.6382,37.7617,57.7531,51.0893,48.1276,55.5319,42.9446,37.7617,57.0127,131.055,35.5404,25.9149,71.8212,47.3872,62.1957,116.987,73.3021,77.0042,40.7234,52.5702,48.868,75.5233,46.6468,56.2723,28.8766,45.1659,45.1659,125.872,45.9063,88.851,113.285,76.2638,85.8893,31.0978,46.6468,61.4553,52.5702,59.234,54.7914,94.034,49.6085,91.8127,37.7617,69.5999,287.285,77.7446,37.7617,62.1957,38.5021,43.6851,62.9361,62.9361,47.3872,44.4255,47.3872,57.0127,74.7829,32.5787,58.4936,54.7914,48.868,98.4765,87.3701,81.4467,35.5404,42.2042,36.2808,131.796,51.0893,47.3872,80.7063,73.3021,31.0978,50.3489,55.5319,106.621,39.9829,37.7617,62.1957,50.3489,54.051,41.4638,98.4765,57.0127,50.3489,56.2723,28.1361,83.668,108.102,51.8297,42.2042,60.7148,57.7531,98.4765,57.7531,58.4936,48.1276,61.4553,49.6085,45.1659,43.6851,42.9446,60.7148,72.5616,54.051,132.536,62.1957,77.7446,51.8297,49.6085,45.1659,76.2638,42.2042,23.6936,88.851,73.3021,44.4255,62.1957,57.7531,58.4936,33.3191,43.6851,40.7234,62.1957,73.3021,65.1574,51.0893,1
76.8018,44.564,75.8536,64.4756,58.7865,57.3643,64.4756,59.2606,57.8384,65.8978,57.8384,40.7713,45.0381,39.3491,39.8231,52.1494,45.5122,51.2012,48.3567,65.8978,69.6905,79.6463,46.4603,78.224,52.1494,87.2316,36.5045,48.3567,42.1936,52.6234,56.8902,51.6753,45.9862,52.6234,48.3567,37.4527,44.564,73.9573,87.7057,45.5122,51.2012,73.4832,40.7713,45.0381,33.186,39.8231,71.5868,54.9939,54.5198,88.6539,55.4679,67.3201,42.6677,68.2682,37.9268,59.7347,59.7347,54.9939,60.6829,67.3201,56.8902,38.4009,41.7195,104.773,54.5198,54.9939,41.2454,109.514,45.5122,43.1417,46.4603,59.2606,45.5122,43.6158,46.4603,53.0975,84.3871,63.5274,73.4832,35.0823,70.1646,51.6753,51.6753,45.9862,58.3125,51.6753,62.1051,57.3643,51.2012,91.0243,40.2972,67.3201,65.8978,127.055,34.1341,33.66,58.3125,41.2454,64.9496,58.3125,151.707,65.8978,51.6753,70.1646,70.1646,50.7271,44.0899,53.0975,56.4161,51.2012,70.6387,68.7423,54.5198,50.253,43.1417,51.2012,39.8231,52.1494,74.4314,72.535,55.4679,41.7195,49.3048,51.6753,86.2835,61.6311,56.4161,65.4237,46.4603,41.2454,56.4161,53.5716,47.8826,49.3048,37.9268,49.3048,54.0457,40.7713,68.2682,75.3795,64.9496,44.0899,50.253,57.8384,77.7499,131.796,47.8826,59.2606,50.253,47.4085,37.4527,81.0685,67.7942,81.5426,50.7271,48.8308,46.9344,74.9054,59.2606,46.4603,49.7789,90.0762,49.3048,57.3643,64.0015,56.4161,127.529,45.9862,54.9939,48.3567,43.6158,45.0381,43.1417,56.4161,75.3795,46.4603,51.6753,45.0381,62.5792,40.2972,69.6905,46.4603,57.3643,100.98,64.4756,42.6677,59.7347,45.0381,57.8384,41.7195,53.0975,52.6234,60.2088,159.293,49.3048,39.8231,49.7789,47.8826,53.5716,41.7195,66.3719,51.6753,56.8902,46.9344,51.6753,40.2972,51.6753,47.4085,47.4085,55.4679,57.3643,42.1936,43.6158,55.942,77.7499,74.4314,40.2972,39.3491,54.0457,44.0899,36.5045,51.2012,46.4603,38.4009,57.3643,72.0609,52.1494,58.7865,48.8308,65.4237,35.5564,46.9344,42.6677,96.2393,48.8308,41.2454,90.0762,46.4603,49.7789,73.4832,57.8384,56.4161,44.564,34.1341,56.4161,50.7271,53.0975,82.4908,36.0305,1
65.0613,66.9202,68.7791,171.39,75.0993,46.8441,69.8944,59.4846,41.6392,43.4981,59.1129,52.0491,50.9337,72.4969,38.665,81.4196,102.611,62.4589,60.9717,60.9717,63.2024,50.1902,42.3828,69.1509,50.1902,99.6368,55.7668,48.3313,46.1006,50.9337,54.2797,36.0626,49.8184,55.3951,81.4196,167.672,60.2282,79.5607,53.1644,41.2675,55.7668,71.0098,46.1006,62.4589,82.9067,42.011,57.6257,49.4466,50.9337,79.5607,50.1902,55.3951,47.9595,38.665,34.5754,71.0098,70.638,62.8306,47.2159,49.4466,68.0355,46.8441,33.0883,54.2797,40.5239,59.4846,47.5877,78.0736,45.7288,52.0491,53.1644,41.6392,49.0748,39.7803,41.2675,70.638,166.557,84.022,97.4061,50.5619,51.3055,50.5619,73.984,52.0491,44.2417,58.7411,65.8049,47.2159,62.4589,115.251,55.0233,61.3435,47.5877,49.4466,35.319,52.4208,70.2662,46.4724,104.842,50.9337,105.585,168.788,90.7141,45.357,71.7533,44.2417,52.4208,61.3435,52.7926,46.4724,75.8429,65.4331,60.9717,46.4724,45.7288,43.1264,45.7288,33.8319,40.5239,212.286,37.1779,57.254,50.1902,64.6895,59.8564,61.7153,43.8699,47.2159,97.4061,43.4981,56.5104,47.9595,47.5877,39.0368,87.7398,64.6895,55.0233,33.0883,76.5865,119.341,43.8699,53.1644,47.9595,49.0748,56.5104,82.1631,66.9202,48.703,90.3423,42.3828,40.1521,60.2282,89.227,63.2024,57.9975,48.3313,73.2405,46.4724,73.2405,65.0613,57.6257,116.367,65.0613,136.071,71.0098,56.1386,1132.44,91.0858,65.8049,52.7926,70.638,56.8822,70.2662,55.0233,60.9717,50.9337,60.2282,69.8944,49.0748,38.2932,97.7779,44.2417,45.357,71.3816,138.302,98.1496,93.6883,84.7656,69.1509,44.6135,51.3055,128.264,61.7153,98.8932,107.444,37.1779,40.5239,70.638,101.867,40.5239,65.4331,62.8306,40.5239,43.1264,93.3165,53.9079,47.2159,54.2797,59.1129,60.2282,68.7791,43.1264,69.8944,59.1129,58.7411,111.162,37.9215,61.7153,81.0478,54.2797,62.0871,50.1902,36.0626,60.6,53.1644,74.3558,66.1767,88.4834,51.3055,101.124,52.7926,39.0368,44.6135,88.8552,46.4724,35.319,68.4073,38.665,61.3435,58.7411,80.676,63.946,39.7803,76.2147,65.4331,59.1129,134.212,62.0871,48.3313,1
